job_titles,Category
Off-Cycle Analyst Intern - Hamburg,Data Analyst
Director of Data Science,Other
Data Engineer,Data Engineer
Business Analyst Intern,Data Analyst
(Junior) Consultant Data Analytics,Data Consultant
Business Analyst,Data Analyst
"Trainee Data Scientist Personen-Rückversicherung, 1792",Data Scientist
Spezialist Data Engineering & Data Science,Data Engineer
AI computational  material  researcher/expert,Research Scientist
"Data Scientist Lead and Team Lead ""Customer Intelligence Team""",Data Scientist
DATA ANALYST:IN,Data Analyst
Data Analyst / Scientist für die Energietransformation,Data Analyst
Data Scientist - Datenmanagement- AOK Bayern - Die Gesundheitskasse,Data Scientist
Analyst - Fokus Data Science / AI,Data Analyst
Unsolicited application (Full time),Other
Machine Learning Engineer (NLP),Machine Learning Engineer
Senior Machine Learning Engineer,Machine Learning Engineer
Principal Data Scientist,Data Scientist
Business Analyst / Controller,Data Analyst
"(Senior) Consultant Data Science & MLOps, d/f/m",Data Consultant
Chief AI Engineer,Data Engineer
Data Team Manager,Other
Senior Analytics Engineer,Data Engineer
Engagement Manager (Data & AI),AI/ML Specialist
Senior Data Scientist – Supply & Demand Modelling,Data Scientist
Unsolicited Application / Initiativbewerbung,Other
Data Scientist - Ranking,Data Scientist
Senior Staff AI Engineer,Data Engineer
Data Scientist (Growth Team),Data Scientist
Working Student –  Machine Learning (GenAI),Machine Learning Engineer
Bachelor of Science - Data Science und Künstliche Intelligenz - Start 01.09.2025,Other
Working Student - Data Annotator,Other
Trainee Data Engineering,Data Engineer
"Senior Data Scientist, gTech Ads",Data Scientist
AI Researcher,Research Scientist
Data Scientist*in/Data Analyst*in,Data Scientist
Global Engineer - Real World Evidence - Europe,Data Engineer
Senior AI Developer f/m/d,AI/ML Specialist
Intern Consultant Data Science and AI*,AI/ML Specialist
Data Scientist / AI Developer,Data Scientist
Research assistant with 75%part-time job limited to 30.09.2027 salary grade (Entgeltgruppe) 13 TV-L FU reference code: WiMi_Clementi_FAIME_2025,Research Scientist
Intern Data Science - Web & Commerce Analytics,Other
Head of Data,Other
Business Intelligence Consultant,Business Intelligence (BI)
Freelance Machine Learning Engineer,Machine Learning Engineer
Computational Chemist Lead,Other
Medical Research Coordinator - MedTech Venture,Research Scientist
Junior Business Intelligence Engineer (All Genders),Data Engineer
"Staff Data Scientist, Investment Modelling",Data Scientist
"Sr Scientist I, AI / ML",AI/ML Specialist
Operations & Marketing Associate,Other
(Junior) Consultant Data Science & Artificial Intelligence,AI/ML Specialist
UX Mixed Methods Researcher,Research Scientist
Machine Learning Engineer Autonomous Driving,Machine Learning Engineer
Data Analyst - MS Tech Stack,Data Analyst
Senior Data Scientist- Optimization,Data Scientist
"Atomic, Molecular, and Optical Physicist",Other
Data Scientist Natural Language Processing,Data Scientist
Research assistant - Department of Mathematics and Natural Science - Mathematics of Data Science Group - ID 142/2024,Research Scientist
Engineer AI,Data Engineer
Internship - Investment Product Analyst,Data Analyst
Trainee AI Engineer - 12 Monate,Data Engineer
Analytics Engineer - Graduate (Hybrid; m/f/x/d),Data Engineer
Data Engineering Consultant,Data Engineer
Working Student - Patient Insights,Other
Interns Epidemic Risk Solutions*,Other
Computational Biologist,Other
Bloomwell - Working Student Data & Analytics*,Other
Data Analytics Specialist,Other
Applied Scientist for Probabilistic Machine Learning and Human-Computer Interaction,Machine Learning Engineer
Cloud & Machine Learning Consultant,Machine Learning Engineer
Intern Data Science - Vehicle Testing Strategies,Other
Senior Data Scientist / AI Developer,Data Scientist
Data and AI Partner,AI/ML Specialist
Senior Data Scientist – Energy Storage / Li-ion / Battery Technologies,Data Scientist
"Research Assistant, Molecular Diagnostics",Research Scientist
Staff Data Scientist - Ad Tech,Data Scientist
Machine Learning Lead,Machine Learning Engineer
Technical Assistant - Biotechnology,Other
Product Manager Pricing & Analytics,Other
(Junior) Product Manager Financial Services,Other
Working Student – Customer Intelligence,Other
Full-Stack Data Analyst,Data Analyst
Data Engineering Working Student/Intern,Data Engineer
Data Analyst/Market Researcher,Data Analyst
Quantitative Power Trading Analyst,Data Analyst
Software Engineer mit Data Science Background,Data Engineer
Data/Software Engineer,Data Engineer
AI Engineer / Data Scientist m|w|d,Data Scientist
Artificial Intelligence and Machine learning Business & Data Analyst,Data Analyst
Data Analyst Battery Cell Testing,Data Analyst
Bachelor of Science - Wirtschaftsinformatik - Data Science - Start 01.09.2025,Other
Junior Credit Analyst,Data Analyst
Data Reporting Analyst,Data Analyst
Data Analyst in IT security company,Data Analyst
Research assistant,Research Scientist
Computational Scientist – (Machine Learning) Digital R&D Large Molecule Research,Machine Learning Engineer
Junior Clinical Research Associate,Research Scientist
Junior KI-Entwickler,Other
Product Analyst - Social Discovery app,Data Analyst
Junior Consultant,Data Consultant
Software Engineer (Python),Data Engineer
"Create a DataCamp Course - Cloud (Part-Time, Freelance)",Other
Internship - Credit Risk Analyst,Data Analyst
Machine Learning Engineer (LLM/RAG),Machine Learning Engineer
Government Affairs Specialist,AI/ML Specialist
Senior AI & Data Science Consultant,AI/ML Specialist
Working Student Artificial Intelligence,AI/ML Specialist
AI Lead,AI/ML Specialist
Data Analyst/Scientist für die Energietransformation,Data Analyst
Marketing Researcher,Research Scientist
AI-Engineer/Vollzeit,Data Engineer
"Generative AI Explorer (Stable Diffusion, ControlNet...)",AI/ML Specialist
Data Consultant,Data Consultant
Process Data Analyst,Data Analyst
Data & AI Business Consultant,AI/ML Specialist
Data Scientist and Process Mining Architect,Data Scientist
"Senior Data Scientist - Time Estimations, Logistics",Data Scientist
Junior Business Analyst Risikomanagement,Data Analyst
BI Analyst,Data Analyst
MLOps Engineer 100% remote,Data Engineer
Werkstudent AI & Digital Transformation,AI/ML Specialist
KI-Entwickler/in - Mitarbeiter/in Künstliche Intelligenz,Other
Senior AI Engineer,Data Engineer
Data Engineer Intern (Mandatory/Pflichtpraktikum),Data Engineer
Initiativbewerbung,Other
BI Business Analyst,Data Analyst
Associate - Index Operations,Other
Internship on Business and Data Analysis,Other
Senior Data Engineer Python/ML/AWS- Remote,Data Engineer
(Senior) Machine Learning Engineer,Machine Learning Engineer
Staff ML Engineer,Machine Learning Engineer
Breeding Informatics Analyst Full Time - in Tübingen,Data Analyst
"Data Science Intern - Summer 2025, EMEA (Remote)",Other
Python Full Stack Developer,Other
Data Engineer / Scientist,Data Engineer
Talent Pool,Other
Performance Engineer - Laundry Care,Data Engineer
Working Student (Sustainability),AI/ML Specialist
Master Student Cryopreserved Natural Killer (NK) cell research (m|f|d),Research Scientist
Data Science und KI - Smart Operations Management,Other
Teamlead Data Science und Data Engineering,Data Engineer
"Senior Python Developer (LLM-based applications, SME)",Other
Traineeship Data Engineer,Data Engineer
Software Engineer (Data & Python),Data Engineer
AI Engineer // Data Scientist,Data Scientist
Praktikum Data Analytics,Other
Praktikant Data Science/Data Analytics,Other
Werkstudent Softwareentwicklung ML Computer Vision im KI Startup,Other
Generative AI Engineer,Data Engineer
Venture Development Tech Analyst,Data Analyst
Junior Professor of Artificial Intelligence and Machine Learning,Machine Learning Engineer
Praktikum Data Science / Analytics,Other
Mathematiker:in / Physiker:in Aktuarielles Controlling,Other
Product Manager,Other
Process Development Engineer,Data Engineer
Product Manager (DeFi / Earn) - Web3,Other
"Process Engineer (relocation to St. Gallen, Switzerland)",Data Engineer
Master of Science (M.Sc.) Start 2025 Location Berlin-Potsdam (VT/STAR),Other
Machine Learning Software Developer (Karlsruhe),Machine Learning Engineer
Lead Machine Learning Engineer – Generative AI,Machine Learning Engineer
Praktikum im Bereich Data Science / Data Analytics,Other
Senior Data Scientist - Large-scale Machine Learning,Data Scientist
Working Student Data Science & Data Engineering,Data Engineer
Werkstudent Insights / Analytics ab Februar 2025,Other
Computer Scientist | InformatikerIn | Software EntwicklerIn für klinische KI-Forschung und Anwendung,Other
"Student Engineering, Natural Sciences, Data Science or similar",Data Engineer
"Senior Data Scientist, Campaigns",Data Scientist
Working Student –  Machine Learning (Audio),Machine Learning Engineer
NGS Data Analyst for Molecular Oncology,Data Analyst
Werkstudent BI & Analytics,Business Intelligence (BI)
Technical Solutions Engineer - Data (Remote),Data Engineer
Consultant AI & Analytics,AI/ML Specialist
Initiativbewerbung Graduates Consulting @ MHP – A Porsche Company,Other
Praktikum Data Science (Schwerpunkt Machine Learning),Machine Learning Engineer
VidLab7: Intern/Working Student - Machine Learning,Machine Learning Engineer
Working Student –  Machine Learning (Video),Machine Learning Engineer
Data Scientist - Consumer (Global Discovery),Data Scientist
(Junior/Mid-level) Big Data Engineer,Data Engineer
Data & AI Scientist Personalized Computational Genomics,AI/ML Specialist
(Senior) Data Scientist / ML Engineer,Data Scientist
Senior Machine Learning Data Scientist,Data Scientist
Data Scientist (mwd),Data Scientist
Internship Battery Analytics,Other
Data Analyst:in Münster/Köln/Berlin/Remote (DE),Data Analyst
(Junior) Data Engineer,Data Engineer
Werkstudent:in – Business Analyst (Energy),Data Analyst
"Analytics and Insight Professional, Amazon Advertising, Analytics and Insights",Other
Working Student - Data Analyst,Data Analyst
Assistant Databases and Data Analysis,Other
Research Engineer,Data Engineer
Intern/WS - Product Data Science,Other
Project Management Assistant (Real World Data),Other
Data Scientist / Engineer mit LLM-Fokus,Data Scientist
Trainee Data Science – Fokus NLP,AI/ML Specialist
Bachelor of Science (DHBW) Wirtschaftsinformatik - Data Scienc am Standort Obersontheim 2025,Other
AI Platform Engineer,Data Engineer
Machine Learning Software Engineer – Optimization & LLM Development,Machine Learning Engineer
Data and Reporting Analyst,Data Analyst
Senior ML Engineer,Machine Learning Engineer
Junior Techno-Economic & Sustainability Analyst,Data Analyst
Working Student - ML/AI Developer – Document Understanding,AI/ML Specialist
Digital Marketing & Data Analytics Manager,Other
"Product Lead, Platform Products",Other
Data Engineer / Analyst,Data Analyst
Head of / VP - Data Experience,Other
Trainee Analytics Engineer,Data Engineer
Business Intelligence Workshop,Business Intelligence (BI)
Business Intelligence und Data Analyst,Data Analyst
Werkstudent Python im Bereich Data Science,Other
Professor for Data Science,Other
"Lead AI Engineer (Cloud, Machine Learning)",Machine Learning Engineer
Financial Analyst Intern,Data Analyst
Business Intelligence Engineer*,Data Engineer
Head of IoT,Other
Working student software development,Other
Wissenschaftliche/r Mitarbeiter/in | Thermomechanische Simulation,Other
Fraud Fighter Wanted,Other
Initiativbewerbung: Wissenschaftliche Mitarbeitende,Other
MRI Working Student/Intern,Other
Business  Development Manger,Other
Werkstudent Data Science / Data Engineering,Data Engineer
Duales Studium – Data Science und Künstliche Intelligenz,Other
Product Analytics Associate (Based in Dubai),AI/ML Specialist
PRAKTIKUM / PRAXISSEMESTER IM BEREICH DATA SCIENCE,Other
"Applied Scientist, Content Systems Science and Engineering, Amazon",Data Engineer
Data Product Manager,Other
Business Intelligence & Analytics Manager,Business Intelligence (BI)
Data Analyst at Allianz SE,Data Analyst
Senior Product Manager - Fraud Prevention,Other
Product Analyst - Shopping Experience,Data Analyst
Software & AI Engineer in Health,Data Engineer
Praktikant*in Data Engineer / Data Scientist Cloud Analytics,Data Scientist
Data Scientist - Process Mining,Data Scientist
"Associate Special Project, Esports",Other
Bachelor of Science - Data Science und Künstliche Intelligenz ab 01.09.2025,Other
Intern Business Analytics - Web & Commerce,Other
"Product Lead, Pricing",Other
Data Analyst (Job-ID 2022099),Data Analyst
Werkstudent Business Intelligence und Analytics,Business Intelligence (BI)
Talent Day - Explore a Tech Career with Netlight,Other
AI Software Developer in Test,AI/ML Specialist
Start Up Praktikum Business Intelligence,Business Intelligence (BI)
Trainee Data Engineer,Data Engineer
AI consultant  - Energy,AI/ML Specialist
Software Engineer - Machine Learning,Machine Learning Engineer
Consultant AI & Data Analytics / Data Science in München,AI/ML Specialist
Werkstudent AI Developer- Taktile Robot Skills,AI/ML Specialist
Junior Managers Program - Business Intelligence und Analytics - Trainee Program (f/m/div.),Business Intelligence (BI)
PhD Candidate,Other
Chief Technology Officer,Other
Data Analyst Search,Data Analyst
HR Data Analytics - Gigafactory Berlin-Brandenburg,Other
Data Analysis Expert Battery Test Field,Other
WERKSTUDENT*IN IM BEREICH DATA SCIENCE,Other
Product Safety Specialist *,Other
(Junior) Specialist ESG Reporting,Other
"Data Analysis, Modeling & Simulation Engineer",Data Engineer
BI & Data Modeling Expert,Business Intelligence (BI)
Laboratory management,Other
Working student in Clinical Data Management m/f/d,Other
Internship for Battery Data Analysis and Lab Automation,Other
Consultant AI & Data Analytics / Data Science in Berlin,AI/ML Specialist
Head of Clinical Data Management & IT,Other
DevOps/ML Engineer,Machine Learning Engineer
Computer Vision Engineer,Data Engineer
Financial Analyst - Intern (Remote Internship - Finance),Data Analyst
Business Intelligence Manager,Business Intelligence (BI)
AI/ML Engineer - Biomedical AI,Machine Learning Engineer
Data Engineer / Data Analyst,Data Analyst
Junior Managers Program - Business Intelligence und Analytics - Trainee programm (f/m/div.),Business Intelligence (BI)
Consultant AI & Data Analytics / Data Science in Frankfurt (Main),AI/ML Specialist
Staff Data Scientist - Consumer Insights & Marketing Technology (CIMT) ( All genders ),Data Scientist
Chief Technology Officer - Must be based in Germany,Other
(Junior) Cloud Data Engineer,Data Engineer
Economic Modeller / Contract Role Full Remote,Other
Data Analyst bei Siemens,Data Analyst
Head of R&D,Other
Director of AI Engineering,Data Engineer
"Data Scientist, Mathematiker - Dateningenieur- AOK Bayern - Die Gesundheitskasse",Data Scientist
Robotics Software Engineer all levels,Data Engineer
Data Analyst / Remote möglich,Data Analyst
Product Analyst – Business Data & Insights,Data Analyst
Data Science Analyst,Data Analyst
Controlling & Analytics Trainee,AI/ML Specialist
Intern - Business Intelligence / Data Warehouse,Business Intelligence (BI)
Data Scientist - Lexware Office,Data Scientist
AI Experience Researcher,Research Scientist
Data Scientist with focus Clinical Statistics (f/m/d - part/full-time),Data Scientist
Praktikant Data Science,Other
Senior Data Scientist - Operations Research,Data Scientist
Simulation and Machine Learning Engineer,Machine Learning Engineer
Analytics & Insights Internship,Other
IIoT Research Developer – Young Professional,Research Scientist
Working Student - Software Development,Other
"Senior Data Scientist, Payments Product",Data Scientist
Carbon Project Risk Analyst,Data Analyst
Junior Consultant Business Intelligence,Business Intelligence (BI)
Consultant - Digital Analytics for Hamburg,Data Consultant
Bench Scientist,Other
Intern - Global Data and Analytics,Other
DATA ANALYST,Data Analyst
Junior DevOps / Machine Learning Engineer,Machine Learning Engineer
Werkstudent Business Intelligence,Business Intelligence (BI)
Lead Consultant AI (Ref:IgLWy),AI/ML Specialist
Masterprogramm Data Science & Business Analytics,Other
NLP Engineer,Data Engineer
Werkstudent im Bereich Datenmanagement,Other
2025 Working Student Internship - Business Intelligence Engineer,Data Engineer
BI Manager Data Science/Data Analytics,Business Intelligence (BI)
IT Business Analyst for Research Labs,Data Analyst
"Abschlussarbeit zum Thema: „Generative KI""",Other
Senior Data Scientist - Remote from Germany,Data Scientist
Program/Product Manager Intern,Other
Data Scientist - Customer Success Projects (ValueWorks),Data Scientist
Senior Software Developer Data & ML,Other
Working Student: Data Science and Data Analytics (f/m/div),Other
Teamlead Data Intelligence,Other
MRI Scientist,Other
Consultant AI & Data Analytics / Data Science in Hamburg,AI/ML Specialist
Research Engineer/Analyst,Data Analyst
Working Student - Machine Learning and NLP for Open-Source Intelligence Evaluation,Machine Learning Engineer
Data Science Intern - Intelligence Automation (Remote),Other
Senior Data Science Consultant,Data Consultant
BI-Entwickler Trainee (Data Analyst / Data Engineer),Data Analyst
Consultant AI & Data Analytics / Data Science,AI/ML Specialist
Business Intelligence Analyst,Data Analyst
Internship Clinical Data Science with focus on Bayesian Statistics,Statistician
SEO - Data Analyst:in,Data Analyst
Consultant Data Science Credit Risk in Berlin,Data Consultant
Machine Learning Engineer (NLP) - Climate Tech,Machine Learning Engineer
Head of ML Platform & Developer Productivity,Other
Fraud Operations Specialist,Other
AI Engineer / AI Developer bei einem SaaS-Unternehmen aus Würzburg (Full-Remote oder vor Ort),Data Engineer
Bachelor/ Master Thesis: Methane leak localization from ambient data,Other
Senior ML / AI Engineer,Data Engineer
Trainee Data Engineer - 12 Monate,Data Engineer
Consulting & Analytics Summer Intern,Other
AI & Data - Analyst,Data Analyst
Certified Strength and Conditioning Specialist,Other
Masterarbeit,Other
Head of Data & Analytics,Other
Werkstudent/Praktikant im Bereich Data Science/Analytics & AI,AI/ML Specialist
Business Intelligence Developer * (Junior Level),Business Intelligence (BI)
Lead ML Engineer,Machine Learning Engineer
2025 Software Development Engineer - Machine Learning,Machine Learning Engineer
DWH-Entwickler,Other
Working student / internship in the area of Data & AI - Data Engineering,Data Engineer
Sr. Machine Learning Engineer,Machine Learning Engineer
Climate Risk Intern*,Other
Werkstudent Analytics: Editorial Intelligence,Other
Associate / (Senior) AI Technology Consultant,AI/ML Specialist
Gesundheitsökonom / Data Scientist im Gesundheitswesen,Data Scientist
Senior Product Manager,Other
(Junior) Consultant | Gen AI Finance,AI/ML Specialist
Data Scientist / Biostatistician,Data Scientist
Genomics Data Scientist,Data Scientist
Junior Quality Lab Scientist Microbiology,Other
Data Scientist Short-Term Asset Trading,Data Scientist
Data Scientist in Hamburg | EPROFESSIONAL,Data Scientist
KI Data Scientist,Data Scientist
Data Scientist mit Schwerpunkt Operationalisierung,Data Scientist
Data Scientist 100%,Data Scientist
Junior Data-Scientist,Other
Working Student / Internship – Data Scientist,Data Scientist
Data Scientist mit Schwerpunkt Datenarbeit,Data Scientist
Data Scientist mit Fokus auf Big Data und KI,Data Scientist
Praktikant:in im Bereich Data Science und Prozesssoptimierung,Other
Junior Aktuar/Actuarial Data Scientist Non-Motor Köln,Data Scientist
"Data Scientist, Internship, Germany - BCG X",Data Scientist
Data Scientist zur Auswertung und Analyse von komplexen Messdaten,Data Scientist
Student Data Scientist,Data Scientist
"Data Scientist Digital Health ‒ Strategie, Analyse & Infrastruktur",Data Scientist
(Junior) Data Scientist,Data Scientist
Ingenieur / Data-Scientist,Other
ACTUARIAL DATA SCIENTIST,Data Scientist
Decision Scientist,Other
Data Scientist Optical Spectroscopy,Data Scientist
Junior Data Scientist Reise,Data Scientist
Trainee Data Analyst / Scientist,Data Analyst
Scientist - In vivo Pharmacology,Other
Werkstudent Data Scientist,Data Scientist
Data Scientist für das Pathologische Institut,Data Scientist
Data Engineer / Data Scientist,Data Scientist
CO-Data Scientist,Data Scientist
(Senior) Data Scientist - Document and Text Analytics,Data Scientist
Senior Data Scientist - Data & AI,Data Scientist
"COMPUTATIONAL GENOMICS SCIENTIST, Referenz: „51004-24-05-WAPRO“",Other
Forecasting Data Scientist SCM,Data Scientist
(Senior) Data Scientist,Data Scientist
Health Data Analyst*in,Data Analyst
Werkstudent Fixed Income Data Scientist,Data Scientist
Senior Data Scientist im Automotive Bereich,Data Scientist
Digital Data Scientist,Data Scientist
Projektingenieur - Data Scientist,Data Scientist
GenAI-Developer/Data Scientist,Data Scientist
Junior Data Scientist Controller,Data Scientist
Scientist for the area Immunoassays (full-time),Other
Senior Data Scientist (Recommendation Systems Expert),Data Scientist
Data Scientist – AI Engineer,Data Scientist
Werkstudententätigkeit als Business Data Scientist,Data Scientist
Data Scientist - Data Engineering,Data Scientist
Instrument Scientist (Gamma Rays and UV) in Astroparticle Physics,Other
Data Scientist / Machine Learning Expert,Data Scientist
DATA ENGINEER M/W/D,Data Engineer
Senior Data Scientist NLP/GenAI,Data Scientist
(Senior) Data Scientist Analytics,Data Scientist
Data Scientist - Portfolio Analyst & Product Owner*,Data Scientist
