id,location_clean,title_cat_ChatGPT,seniority_level_5,days_online_grouped,job_type,tech_stack
85,Nordrhein-Westfalen,Data Scientist,Director,15-21,Full-time,Python
87,Köln,AI Engineer,Associate/Mid-Level,29+,Full-time,Python
88,Essen,Data Scientist,Associate/Mid-Level,8-14,Full-time,-
89,Berlin,AI/ML Specialist,Director,22-28,Full-time,Python
90,München,AI/ML Specialist,Director,8-14,Full-time,-
92,Hamburg,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
93,Weil am Rhein,Data Scientist,Associate/Mid-Level,0-7,-,Python
94,Holm,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
95,Dresden,Data Scientist,Associate/Mid-Level,15-21,-,Python
96,Leipzig,Machine Learning Engineer,Entry level,0-7,Full-time,Python
97,Berlin,Data Scientist,Director,0-7,Full-time,-
98,Berlin,Data Analyst,Associate/Mid-Level,0-7,Full-time,-
100,Hamburg,AI/ML Specialist,Associate/Mid-Level,22-28,Full-time,Python
101,Frankfurt am Main,Other,Director,0-7,Full-time,Python
102,München,AI/ML Specialist,Director,8-14,Full-time,-
103,Berlin,Other,Associate/Mid-Level,8-14,Full-time,Python
104,Deutschland,Data Scientist,Associate/Mid-Level,22-28,-,Python
105,Berlin,AI Engineer,Associate/Mid-Level,15-21,Full-time,Python
106,Hamburg,Data Scientist,Entry level,29+,-,Python
107,München,Data Analyst,Associate/Mid-Level,0-7,Full-time,Python
108,Sulzbach,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
109,Berlin,Other,Senior,0-7,Full-time,Python
110,München,AI/ML Specialist,Associate/Mid-Level,0-7,Full-time,-
111,Deutschland,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
112,Hamburg,AI Engineer,Associate/Mid-Level,8-14,Full-time,Python
113,München,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
114,Berlin,Data Analyst,Senior,0-7,Full-time,Python
115,Berlin,Data Analyst,Associate/Mid-Level,8-14,Full-time,Python
116,München,AI/ML Specialist,Associate/Mid-Level,8-14,Full-time,-
117,München,AI Engineer,Associate/Mid-Level,29+,Full-time,Python
118,Berlin,Data Scientist,Director,0-7,Full-time,-
119,Bremen,AI/ML Specialist,Director,0-7,Full-time,-
121,Eschborn,AI/ML Specialist,Associate/Mid-Level,0-7,Full-time,-
122,Berlin,AI/ML Specialist,Associate/Mid-Level,29+,Full-time,-
123,Ottobrunn,Data Scientist,Entry level,29+,Full-time,Python
124,Baden-Württemberg,Other,Associate/Mid-Level,0-7,Full-time,Python
125,Stuttgart,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
126,Saarbrücken,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
127,Frankfurt am Main,Data Scientist,Director,0-7,Full-time,-
128,Berlin,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
129,München,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
130,Deutschland,Data Analyst,Associate/Mid-Level,8-14,Full-time,Python
133,Deutschland,Data Scientist,Senior,0-7,Full-time,-
134,Köln,Data Scientist,Entry level,0-7,-,Python
135,Tübingen,Data Analyst,Associate/Mid-Level,0-7,Full-time,-
136,Detmold,Other,Associate/Mid-Level,0-7,Full-time,-
137,Bad Salzuflen,Other,Director,15-21,Full-time,-
138,Deutschland,Data Scientist,Senior,0-7,Full-time,Python
139,München,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
140,München,AI/ML Specialist,Entry level,0-7,Full-time,Python
141,Berlin,Machine Learning Engineer,Entry level,29+,-,Python
142,Berlin,Data Analyst,Associate/Mid-Level,8-14,Full-time,Python
143,München,Data Scientist,Associate/Mid-Level,8-14,Full-time,-
144,Essen,Data Scientist,Associate/Mid-Level,29+,Full-time,-
145,Deutschland,Machine Learning Engineer,Associate/Mid-Level,15-21,Full-time,Python
146,Berlin,Other,Associate/Mid-Level,29+,Full-time,-
147,München,Data Scientist,Director,0-7,Full-time,-
148,Fürth,Data Scientist,Director,0-7,Full-time,Python
149,Frankfurt am Main,Other,Associate/Mid-Level,15-21,Full-time,-
150,Darmstadt,AI/ML Specialist,Entry level,15-21,Full-time,Python
151,Düsseldorf,Data Scientist,Entry level,22-28,Full-time,Python
152,Berlin,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
153,Würzburg,Other,Associate/Mid-Level,29+,Full-time,Python
154,Fellbach,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
155,Berlin,Data Scientist,Director,8-14,Full-time,Python
156,Berlin,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
157,Berlin,Data Scientist,Senior,0-7,Full-time,Python
158,Berlin,Data Analyst,Associate/Mid-Level,8-14,Full-time,-
159,Deutschland,Research Scientist,Associate/Mid-Level,29+,Full-time,-
160,Hamburg,AI Engineer,Associate/Mid-Level,15-21,Full-time,Python
161,Stuttgart,Data Analyst,Associate/Mid-Level,0-7,Full-time,Python
162,München,Data Scientist,Senior,8-14,Full-time,Python
163,Fellbach,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
164,Berlin,AI Engineer,Associate/Mid-Level,8-14,Full-time,Python
165,München,AI/ML Specialist,Associate/Mid-Level,29+,Full-time,-
166,Berlin,Other,Associate/Mid-Level,29+,Full-time,Python
167,Düsseldorf,Other,Associate/Mid-Level,22-28,Full-time,-
168,München,Research Scientist,Associate/Mid-Level,15-21,Full-time,Python
169,München,AI/ML Specialist,Associate/Mid-Level,0-7,Full-time,Python
170,Dorsten,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
171,Berlin,Machine Learning Engineer,Associate/Mid-Level,8-14,Full-time,-
173,Deutschland,Data Analyst,Entry level,15-21,Full-time,Python
174,Berlin,Data Analyst,Associate/Mid-Level,29+,Full-time,Python
175,Frankfurt am Main,Other,Associate/Mid-Level,15-21,Full-time,-
176,Berlin,Data Analyst,Associate/Mid-Level,15-21,Full-time,Python
177,Düsseldorf,Research Scientist,Director,0-7,Full-time,Python
178,München,Other,Associate/Mid-Level,29+,Full-time,-
179,Heidelberg,AI Engineer,Senior,29+,Full-time,Python
180,Wuppertal,Machine Learning Engineer,Associate/Mid-Level,0-7,Full-time,Python
181,Hamburg,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
182,Düsseldorf,Other,Associate/Mid-Level,0-7,Full-time,-
183,Köln,AI/ML Specialist,Entry level,8-14,-,Python
184,Deutschland,Data Scientist,Director,8-14,Full-time,Python
185,Berlin,Other,Associate/Mid-Level,15-21,Full-time,Python
186,München,Other,Entry level,0-7,Full-time,Python
187,Berlin,Other,Associate/Mid-Level,0-7,Full-time,Python
188,Coburg,Machine Learning Engineer,Senior,0-7,Full-time,Python
189,München,Other,Senior,0-7,Full-time,-
190,Berlin,Research Scientist,Associate/Mid-Level,0-7,Full-time,Python
192,Deutschland,Data Scientist,Associate/Mid-Level,15-21,-,Python
193,Berlin,Other,Associate/Mid-Level,15-21,Full-time,-
194,Dortmund,AI/ML Specialist,Associate/Mid-Level,8-14,Full-time,Python
195,Aachen,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
196,Berlin,Other,Associate/Mid-Level,29+,Full-time,-
198,Berlin,Research Scientist,Associate/Mid-Level,22-28,-,Python
199,Wesel,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
200,Deutschland,Data Scientist,Entry level,15-21,-,Python
201,Deutschland,Machine Learning Engineer,Associate/Mid-Level,15-21,-,Python
202,München,Other,Associate/Mid-Level,22-28,Full-time,Python
203,Bremen,AI Engineer,Entry level,0-7,-,Python
204,Hannover,Other,Associate/Mid-Level,15-21,Full-time,Python
205,Deutschland,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
206,Deutschland,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
207,Grünheide,Data Engineer,Entry level,29+,-,Python
208,Köln,Data Scientist,Entry level,0-7,-,Python
209,Hannover,Data Scientist,Associate/Mid-Level,29+,Full-time,-
211,Stuttgart,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
212,München,Research Scientist,Associate/Mid-Level,22-28,-,Python
214,Berlin,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
215,München,Data Scientist,Entry level,29+,-,Python
216,Deutschland,AI/ML Specialist,Director,15-21,Full-time,-
217,Hannover,Data Scientist,Entry level,29+,Full-time,Python
218,Berlin,Business Intelligence (BI),Associate/Mid-Level,29+,Full-time,Python
219,Deutschland,Other,Associate/Mid-Level,15-21,Full-time,-
220,Fellbach,Data Engineer,Entry level,22-28,Full-time,Python
221,Berlin,Machine Learning Engineer,Director,29+,Full-time,Python
222,Lampertheim,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
223,Berlin,Data Analyst,Associate/Mid-Level,15-21,Full-time,Python
224,Frankfurt am Main,Data Analyst,Associate/Mid-Level,0-7,Full-time,-
225,Berlin,Other,Director,8-14,Full-time,-
226,Düsseldorf,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
227,Hamburg,Data Scientist,Entry level,29+,-,Python
228,Deutschland,Research Scientist,Director,8-14,Full-time,Python
229,München,Other,Associate/Mid-Level,22-28,Full-time,-
230,Berlin,Other,Associate/Mid-Level,0-7,Full-time,-
231,Berlin,Data Analyst,Associate/Mid-Level,8-14,Full-time,Python
232,Köln,Data Engineer,Associate/Mid-Level,29+,Full-time,Python
233,Deutschland,AI/ML Specialist,Director,8-14,Full-time,Python
235,Hamburg,Data Scientist,Senior,0-7,Full-time,Python
236,Deutschland,Business Intelligence (BI),Senior,0-7,Full-time,Python
237,Berlin,AI/ML Specialist,Associate/Mid-Level,29+,Full-time,-
238,Deutschland,Other,Senior,29+,Full-time,Python
239,Köln,AI/ML Specialist,Associate/Mid-Level,22-28,Full-time,-
240,Deutschland,Data Engineer,Entry level,0-7,-,Python
241,München,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
244,Berlin,Other,Associate/Mid-Level,29+,Full-time,-
245,München,Data Analyst,Associate/Mid-Level,22-28,Full-time,-
246,Kiel,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
248,München,Data Scientist,Entry level,0-7,Full-time,Python
249,Mannheim,Research Scientist,Senior,0-7,Full-time,-
251,Coburg,Other,Senior,22-28,Full-time,-
252,Berlin,Other,Director,0-7,Full-time,-
253,Berlin,Data Scientist,Senior,29+,Full-time,Python
254,München,AI/ML Specialist,Entry level,15-21,-,Python
255,München,Machine Learning Engineer,Entry level,0-7,Full-time,Python
257,Winnenden,Data Scientist,Entry level,29+,Full-time,-
258,Karlsruhe,Data Scientist,Entry level,0-7,-,Python
259,Bielefeld,Other,Entry level,15-21,Full-time,Python
260,Hamburg,Other,Associate/Mid-Level,15-21,Full-time,Python
262,Düsseldorf,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
263,Deutschland,Research Scientist,Associate/Mid-Level,15-21,Full-time,Python
264,Deutschland,Other,Associate/Mid-Level,0-7,Full-time,-
265,München,Data Scientist,Senior,29+,Full-time,Python
266,Berlin,Research Scientist,Entry level,0-7,-,Python
269,Berlin,Data Scientist,Director,8-14,Full-time,Python
270,Bad Homburg,Data Scientist,Entry level,15-21,-,Python
271,Berlin,Data Engineer,Associate/Mid-Level,0-7,Full-time,Python
272,München,Other,Entry level,8-14,Full-time,Python
273,Frankfurt am Main,Data Consultant,Entry level,8-14,Full-time,-
275,Hannover,Data Scientist,Entry level,0-7,Full-time,Python
276,München,Data Analyst,Associate/Mid-Level,8-14,Full-time,Python
277,Hamburg,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
278,München,Research Scientist,Associate/Mid-Level,0-7,Full-time,-
279,Berlin,Data Scientist,Director,0-7,Full-time,Python
280,Köln,Data Analyst,Associate/Mid-Level,29+,Full-time,Python
281,Berlin,Data Scientist,Senior,29+,Full-time,Python
282,Dortmund,Data Analyst,Associate/Mid-Level,15-21,Full-time,-
283,Deutschland,Data Analyst,Senior,29+,Full-time,Python
284,München,Data Scientist,Associate/Mid-Level,0-7,Full-time,-
285,Hamburg,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
286,München,Other,Associate/Mid-Level,29+,Full-time,-
287,Berlin,Machine Learning Engineer,Associate/Mid-Level,22-28,Full-time,Python
288,Berlin,Other,Associate/Mid-Level,0-7,Full-time,Python
289,Deutschland,Machine Learning Engineer,Senior,22-28,Full-time,Python
290,Berlin,Data Scientist,Director,29+,Full-time,-
291,Frankfurt am Main,Other,Associate/Mid-Level,29+,Full-time,Python
292,Leipzig,Data Scientist,Senior,15-21,Full-time,Python
294,München,AI Engineer,Associate/Mid-Level,0-7,Full-time,-
295,Berlin,Other,Associate/Mid-Level,29+,Full-time,Python
296,Berlin,Other,Senior,15-21,Full-time,-
297,Stuttgart,AI/ML Specialist,Associate/Mid-Level,22-28,Full-time,-
299,Hamburg,Data Scientist,Senior,0-7,Full-time,Python
300,Berlin,Other,Associate/Mid-Level,29+,Full-time,-
301,Düsseldorf,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
302,Berlin,AI Engineer,Senior,29+,Full-time,Python
303,Frankfurt am Main,Data Scientist,Senior,15-21,Full-time,Python
304,Berlin,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
305,Karlsruhe,Machine Learning Engineer,Entry level,15-21,-,Python
306,Hamburg,AI/ML Specialist,Associate/Mid-Level,15-21,Full-time,Python
307,Berlin,Data Analyst,Associate/Mid-Level,15-21,Full-time,Python
308,Neuenstadt am Kocher,Data Scientist,Entry level,29+,Full-time,-
310,Stuttgart,Data Engineer,Entry level,29+,Full-time,-
311,Berlin,Data Scientist,Senior,0-7,Full-time,Python
313,Deutschland,Research Scientist,Associate/Mid-Level,29+,Full-time,Python
314,Düsseldorf,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
315,Lübbecke,Other,Associate/Mid-Level,29+,Full-time,Python
317,Düsseldorf,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
318,Berlin,AI/ML Specialist,Senior,0-7,Full-time,Python
319,München,Data Scientist,Entry level,0-7,-,Python
320,Berlin,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
322,München,Data Scientist,Entry level,0-7,-,Python
323,Bremen,AI/ML Specialist,Director,0-7,Full-time,-
325,Deutschland,Other,Director,22-28,Full-time,Python
326,Deutschland,Business Intelligence (BI),Associate/Mid-Level,22-28,Full-time,-
327,Deutschland,Machine Learning Engineer,Associate/Mid-Level,15-21,Full-time,Python
328,Berlin,Other,Director,8-14,Full-time,Python
329,Berlin,Research Scientist,Associate/Mid-Level,29+,Full-time,-
330,Berlin,Business Intelligence (BI),Entry level,15-21,Full-time,-
331,Berlin,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
332,Ludwigshafen,AI/ML Specialist,Associate/Mid-Level,15-21,Full-time,Python
333,Schrobenhausen,Machine Learning Engineer,Associate/Mid-Level,0-7,Full-time,-
335,Frankfurt am Main,Data Scientist,Entry level,8-14,Full-time,Python
336,Berlin,Research Scientist,Associate/Mid-Level,8-14,Full-time,-
337,Karlsruhe,Machine Learning Engineer,Associate/Mid-Level,8-14,Full-time,Python
338,Frankfurt am Main,Data Analyst,Associate/Mid-Level,8-14,Full-time,-
340,Arnstorf,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
341,München,Data Scientist,Senior,29+,Full-time,Python
342,Berlin,Other,Associate/Mid-Level,29+,Full-time,Python
343,Lübeck,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
344,München,Data Scientist,Senior,15-21,Full-time,Python
345,Berlin,Data Engineer,Entry level,8-14,Full-time,-
348,Ilmenau,Data Scientist,Associate/Mid-Level,0-7,-,Python
349,Deutschland,AI Engineer,Associate/Mid-Level,0-7,Full-time,Python
351,Köln,AI Engineer,Entry level,0-7,Full-time,Python
352,München,Other,Associate/Mid-Level,15-21,Full-time,-
353,Düsseldorf,Data Engineer,Associate/Mid-Level,0-7,Full-time,Python
354,Berlin,Other,Entry level,0-7,Full-time,Python
356,Heidelberg,Data Analyst,Associate/Mid-Level,29+,Full-time,-
357,Berlin,Other,Associate/Mid-Level,0-7,Full-time,Python
358,Frankfurt am Main,Other,Entry level,0-7,-,Python
359,Hamburg,Other,Associate/Mid-Level,0-7,Full-time,-
360,Berlin,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,-
361,Deutschland,Machine Learning Engineer,Associate/Mid-Level,15-21,Full-time,Python
362,Berlin,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
363,München,Data Scientist,Entry level,8-14,-,Python
364,Bremen,Data Scientist,Senior,0-7,Full-time,Python
365,Berlin,Other,Associate/Mid-Level,22-28,Full-time,Python
366,Deutschland,AI/ML Specialist,Associate/Mid-Level,22-28,Full-time,-
367,Nürnberg,Data Scientist,Senior,15-21,Full-time,Python
368,München,Machine Learning Engineer,Entry level,0-7,-,Python
369,Nürnberg,Data Scientist,Associate/Mid-Level,22-28,Full-time,Python
370,Krailling,Research Scientist,Associate/Mid-Level,29+,Full-time,-
371,Berlin,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
373,Berlin,Machine Learning Engineer,Director,0-7,Full-time,-
374,Neuried,Other,Associate/Mid-Level,8-14,Full-time,-
375,Frankfurt am Main,Other,Associate/Mid-Level,22-28,Full-time,Python
376,Berlin,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
377,Deutschland,Other,Associate/Mid-Level,15-21,Full-time,Python
378,Köln,Other,Entry level,29+,Full-time,-
379,Berlin,Other,Entry level,0-7,-,Python
381,Berlin,Data Analyst,Associate/Mid-Level,0-7,Full-time,Python
382,Hamburg,Data Engineer,Associate/Mid-Level,29+,Full-time,Python
383,Berlin,Data Analyst,Associate/Mid-Level,8-14,Full-time,Python
385,Berlin,Data Analyst,Associate/Mid-Level,0-7,Full-time,-
386,Nordrhein-Westfalen,Other,Associate/Mid-Level,15-21,Full-time,Python
387,Berlin,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
390,Frankfurt am Main,Other,Associate/Mid-Level,22-28,Full-time,Python
391,Bremen,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
392,München,Data Analyst,Associate/Mid-Level,0-7,-,Python
393,Salzgitter,Data Analyst,Associate/Mid-Level,0-7,Full-time,Python
394,Neuenstadt am Kocher,Data Scientist,Entry level,29+,Full-time,-
396,Berlin,Other,Entry level,0-7,Full-time,-
397,Augsburg,Other,Associate/Mid-Level,22-28,Full-time,-
398,Berlin,Data Analyst,Associate/Mid-Level,0-7,Full-time,Python
399,Stuttgart,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
400,Berlin,Machine Learning Engineer,Senior,0-7,Full-time,Python
402,Frankfurt am Main,Machine Learning Engineer,Associate/Mid-Level,0-7,Full-time,Python
403,Dortmund,Data Scientist,Associate/Mid-Level,29+,Full-time,-
404,München,Research Scientist,Entry level,15-21,Full-time,-
405,Verl,Other,Entry level,0-7,Full-time,Python
406,Weeze,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
409,Karlsruhe,Other,Entry level,0-7,-,Python
410,Deutschland,Other,Associate/Mid-Level,8-14,Full-time,Python
412,Frankfurt am Main,Data Consultant,Entry level,29+,Full-time,Python
413,Berlin,Other,Associate/Mid-Level,29+,Full-time,Python
416,Köln,Machine Learning Engineer,Associate/Mid-Level,15-21,Full-time,Python
417,Stuttgart,Machine Learning Engineer,Senior,0-7,Full-time,Python
419,Deutschland,Data Scientist,Senior,0-7,Full-time,Python
420,München,AI/ML Specialist,Entry level,29+,-,Python
422,Stuttgart,Data Scientist,Associate/Mid-Level,15-21,Full-time,Python
423,Frankfurt am Main,AI/ML Specialist,Director,0-7,Full-time,-
425,Dortmund,Data Analyst,Associate/Mid-Level,15-21,Full-time,-
426,Weinheim,Research Scientist,Associate/Mid-Level,0-7,Full-time,-
427,Hamburg,AI Engineer,Associate/Mid-Level,15-21,Full-time,-
428,Berlin,AI/ML Specialist,Associate/Mid-Level,0-7,Full-time,Python
429,Hamburg,Data Consultant,Associate/Mid-Level,29+,Full-time,Python
430,Neuwied,Data Analyst,Associate/Mid-Level,0-7,Full-time,Python
431,Dortmund,AI/ML Specialist,Associate/Mid-Level,8-14,Full-time,-
432,München,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
433,Berlin,Data Scientist,Senior,8-14,Full-time,Python
434,Deutschland,Other,Entry level,15-21,Full-time,-
435,Berlin,Data Analyst,Senior,22-28,Full-time,Python
436,Berlin,Business Intelligence (BI),Associate/Mid-Level,0-7,Full-time,-
437,Hannover,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
438,Deutschland,Other,Associate/Mid-Level,22-28,Full-time,Python
440,Deutschland,Other,Associate/Mid-Level,15-21,Full-time,Python
441,Hamburg,Data Scientist,Senior,0-7,Full-time,Python
442,Hamburg,AI Engineer,Senior,8-14,Full-time,Python
443,Hannover,Data Engineer,Entry level,22-28,-,Python
446,Frankfurt am Main,Other,Associate/Mid-Level,0-7,Full-time,-
447,München,Other,Entry level,29+,-,Python
448,Deutschland,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
449,Potsdam,Data Engineer,Senior,0-7,Full-time,Python
450,Berlin,Machine Learning Engineer,Senior,29+,Full-time,Python
451,Frankfurt am Main,Other,Entry level,0-7,Full-time,-
452,Berlin,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,-
453,Tübingen,Other,Associate/Mid-Level,22-28,Full-time,Python
454,München,Data Scientist,Director,29+,Full-time,Python
455,München,Data Scientist,Entry level,8-14,Full-time,Python
456,Deutschland,Other,Associate/Mid-Level,29+,-,Python
457,Köln,Data Engineer,Associate/Mid-Level,0-7,Full-time,Python
458,Eschborn,Other,Associate/Mid-Level,29+,Full-time,-
459,Stuttgart,Other,Associate/Mid-Level,15-21,Full-time,-
460,Mülheim an der Ruhr,Data Scientist,Associate/Mid-Level,8-14,Full-time,Python
462,Bergisch Gladbach,Research Scientist,Associate/Mid-Level,15-21,Full-time,-
463,München,AI Engineer,Senior,0-7,Full-time,Python
464,Stuttgart,Data Analyst,Associate/Mid-Level,29+,Full-time,Python
465,Heilbronn,Data Scientist,Associate/Mid-Level,8-14,Full-time,-
466,Hamburg,Data Scientist,Senior,29+,Full-time,Python
467,Berlin,Other,Senior,0-7,Full-time,Python
468,Mannheim,Data Engineer,Entry level,0-7,Full-time,-
469,Berlin,Other,Associate/Mid-Level,0-7,Full-time,Python
